codice_istat;anno;abitanti
064005;2019;21756
064005;2020;21497
029002;2019;4195
029002;2020;4182
058009;2019;18328
058009;2020;18187
069004;2019;1111
069004;2020;1121
061004;2019;5311
061004;2020;5346
001012;2019;1075
001012;2020;1081
091001;2019;1307
091001;2020;1265
103003;2019;1995
103003;2020;1971
056002;2019;854
056002;2020;817
015010;2019;12094
015010;2020;12224
003006;2019;2201
003006;2020;2155
076005;2019;589
076005;2020;578
008004;2019;110
008004;2020;117
111002;2019;461
111002;2020;442
007004;2019;1255
007004;2020;1245
060009;2019;2240
060009;2020;2254
009007;2019;604
009007;2020;590
075007;2019;4036
075007;2020;3995
103004;2019;244
103004;2020;236
003008;2019;13838
003008;2020;13788
013012;2019;5084
013012;2020;5139
062005;2019;1996
062005;2020;1994
062006;2019;758
062006;2020;737
060010;2019;7006
060010;2020;6943
028005;2019;1839
028005;2020;1858
029003;2019;2668
029003;2020;2680
044006;2019;1091
044006;2020;1061
006009;2019;6341
006009;2020;6310
028006;2019;2132
028006;2020;2120
055005;2019;2713
055005;2020;2696
012005;2019;4882
012005;2020;4805
025004;2019;2230
025004;2020;2229
024007;2019;3103
024007;2020;3084
067003;2019;804
067003;2020;802
058010;2019;1475
058010;2020;1441
030005;2019;2084
030005;2020;2067
030006;2019;2826
030006;2020;2841
058011;2019;13842
058011;2020;13762
017007;2019;3537
017007;2020;3553
007005;2019;879
007005;2020;870
090006;2019;13477
090006;2020;13445
016013;2019;2690
016013;2020;2710
091002;2019;2360
091002;2020;2310
063005;2019;33993
063005;2020;33756
028007;2019;4798
028007;2020;4843
024008;2019;25375
024008;2020;25322
065009;2019;5869
065009;2020;5898
052002;2019;6954
052002;2020;6940
044007;2019;48041
044007;2020;47404
071005;2019;6076
071005;2020;6043
057004;2019;236
057004;2020;216
024009;2019;6442
024009;2020;6444
024010;2019;860
024010;2020;880
002007;2019;1424
002007;2020;1405
020002;2019;10018
020002;2020;10023
026003;2019;9031
026003;2020;9000
015011;2019;8866
015011;2020;8922
092003;2019;26173
092003;2020;26194
054001;2019;27928
054001;2020;27952
013013;2019;3559
013013;2020;3560
095008;2019;371
095008;2020;355
086003;2019;5001
086003;2020;4962
005005;2019;75591
005005;2020;75051
095009;2019;328
095009;2020;318
066005;2019;1124
066005;2020;1114
076006;2019;3821
076006;2020;3771
065010;2019;2373
065010;2020;2386
069005;2019;10584
069005;2020;10566
060011;2019;4218
060011;2020;4191
065011;2019;829
065011;2020;825
067004;2019;10402
067004;2020;10304
064006;2019;10822
064006;2020;10710
055006;2019;2023
055006;2020;1998
030007;2019;1721
030007;2020;1712
091003;2019;1112
091003;2020;1088
041003;2019;1516
089001;2019;34874
089001;2020;34657
065012;2019;2253
065012;2020;2223
045001;2019;10855
045001;2020;10739
103005;2019;104
103005;2020;100
008005;2019;322
008005;2020;335
025005;2019;3290
025005;2020;3242
060012;2019;2518
060012;2020;2503
091004;2019;795
091004;2020;777
010002;2019;2545
010002;2020;2524
021005;2019;785
021005;2020;786
064007;2019;7703
064007;2020;7608
064008;2019;53762
064008;2020;53346
016014;2019;181
016014;2020;182
061005;2019;51801
061005;2020;51344
073001;2019;6475
073001;2020;6436
066006;2019;41700
066006;2020;41500
093004;2019;8939
093004;2020;8897
016015;2019;565
016015;2020;559
001013;2019;12578
001013;2020;12611
076007;2019;11059
076007;2020;10929
055033;2019;2453
055033;2020;2428
022007;2019;4078
022007;2020;4117
007006;2019;310
007006;2020;306
089002;2019;30785
089002;2020;30667
006010;2019;268
006010;2020;261
007007;2019;1379
007007;2020;1393
007008;2019;2061
007008;2020;2104
001014;2019;1253
001014;2020;1244
019004;2019;614
019004;2020;601
005006;2019;367
005006;2020;382
093005;2019;15561
093005;2020;15562
017008;2019;3360
017008;2020;3370
016016;2019;7547
016016;2020;7560
012006;2019;4638
012006;2020;4648
012007;2019;765
012007;2020;755
016017;2019;389
016017;2020;386
103006;2019;896
103006;2020;888
063006;2019;26042
063006;2020;25844
008006;2019;1104
008006;2020;1078
090081;2019;1850
090081;2020;1850
023005;2019;2619
023005;2020;2597
018006;2019;357
018006;2020;360
029004;2019;10224
029004;2020;10097
051003;2019;1049
051003;2020;1035
021006;2019;3557
021006;2020;3525
079008;2019;2920
079008;2020;2897
080006;2019;977
080006;2020;973
082006;2019;53714
082006;2020;53409
039002;2019;16716
039002;2020;16619
080007;2019;9817
080007;2020;9698
039003;2019;2443
039003;2020;2425
018007;2019;659
018007;2020;643
030008;2019;3490
030008;2020;3436
004008;2019;1023
004008;2020;1019
016018;2019;4337
016018;2020;4358
046002;2019;5899
046002;2020;5801
048001;2019;25560
048001;2020;25556
040001;2019;5833
040001;2020;5783
094003;2019;688
094003;2020;678
028008;2019;3479
028008;2020;3417
064009;2019;3121
064009;2020;3103
019005;2019;4841
019005;2020;4870
075008;2019;1815
075008;2020;1808
029005;2019;1202
029005;2020;1203
035002;2019;9689
035002;2020;9683
017009;2019;12468
017009;2020;12456
004009;2019;5967
004009;2020;5911
020003;2019;5784
020003;2020;5744
045002;2019;1808
045002;2020;1786
056003;2019;3535
056003;2020;3492
017010;2019;3855
017010;2020;3818
061006;2019;2099
061006;2020;2076
064010;2019;4567
064010;2020;4549
001015;2019;790
001015;2020;797
035003;2019;3238
035003;2020;3222
008007;2019;331
008007;2020;335
001016;2019;3175
001016;2020;3153
005007;2019;1141
005007;2020;1147
001017;2019;543
001017;2020;531
004010;2019;1060
004010;2020;1067
001018;2019;3624
001018;2020;3601
082007;2019;6362
082007;2020;6292
009008;2019;542
009008;2020;539
097004;2019;4025
097004;2020;4090
111003;2019;764
111003;2020;736
001019;2019;113
001019;2020;114
002008;2019;110
002008;2020;113
002009;2019;218
002009;2020;210
066007;2019;3308
066007;2020;3292
076008;2019;1827
076008;2020;1797
006011;2019;1327
006011;2020;1320
090007;2019;528
090007;2020;538
001020;2019;3205
001020;2020;3191
103007;2019;461
103007;2020;456
076009;2019;1306
076009;2020;1276
028009;2019;3087
028009;2020;3114
095010;2019;81
095010;2020;77
076010;2019;2604
076010;2020;2567
070002;2019;2614
070002;2020;2583
063007;2019;10081
063007;2020;10009
015250;2019;11661
015250;2020;11838
012008;2019;1696
012008;2020;1660
095011;2019;1264
095011;2020;1250
001021;2019;1566
001021;2020;1567
042004;2019;1326
042004;2020;1303
024124;2019;6378
024124;2020;6354
056004;2019;1048
056004;2020;1016
004011;2019;630
004011;2020;612
017011;2019;2287
017011;2020;2313
016019;2019;693
016019;2020;689
048002;2019;10776
048002;2020;10828
048054;2019;12125
048054;2020;12101
048003;2019;4369
018008;2019;849
018008;2020;847
021007;2019;1741
021007;2020;1750
028010;2019;627
028010;2020;621
083005;2019;40625
083005;2020;40499
093006;2019;244
093006;2020;243
007009;2019;121
007009;2020;122
012009;2019;1619
012009;2020;1605
034002;2019;2151
034002;2020;2122
009009;2019;749
009009;2020;754
023006;2019;7185
023006;2020;7181
001022;2019;3140
001022;2020;3148
015012;2019;17183
015012;2020;17161
003012;2019;788
003012;2020;758
095012;2019;611
095012;2020;597
066008;2019;668
066008;2020;639
046003;2019;9747
046003;2020;9694
010003;2019;2655
010003;2020;2618
004012;2019;7530
004012;2020;7506
017012;2019;1175
017012;2020;1160
072006;2019;316491
072006;2020;315284
091005;2019;3935
091005;2020;3908
016020;2019;4206
016020;2020;4193
037003;2019;7075
037003;2020;7094
076011;2019;2766
076011;2020;2727
066009;2019;1749
066009;2020;1718
108005;2019;6928
108005;2020;6879
110002;2019;93435
110002;2020;93275
013015;2019;566
013015;2020;583
004013;2019;690
004013;2020;679
001023;2019;588
001023;2020;578
065013;2019;16895
065013;2020;16997
086004;2019;12325
086004;2020;12126
111004;2019;1121
111004;2020;1107
066010;2019;712
066010;2020;715
111005;2019;1237
111005;2020;1221
097005;2019;2390
097005;2020;2383
016021;2019;1967
016021;2020;1987
097006;2019;5069
097006;2020;5034
097007;2019;1303
097007;2020;1283
006012;2019;2080
006012;2020;2063
018009;2019;1769
018009;2020;1751
055007;2019;2677
055007;2020;2679
067005;2019;2363
067005;2020;2360
022009;2019;5059
022009;2020;5105
062007;2019;2271
062007;2020;2228
015014;2019;3651
015014;2020;3667
083006;2019;589
083006;2020;570
015015;2019;7896
015015;2020;7949
030009;2019;5300
030009;2020;5289
017013;2019;2297
017013;2020;2305
024012;2019;42874
024012;2020;42773
056006;2019;1244
056006;2020;1258
056005;2019;4667
056005;2020;4583
059002;2019;1480
059002;2020;1459
006013;2019;1675
006013;2020;1643
004014;2019;665
004014;2020;641
054002;2019;21480
054002;2020;21472
018011;2019;993
018011;2020;952
036001;2019;4203
036001;2020;4197
028011;2019;3880
028011;2020;3882
004015;2019;216
004015;2020;221
065014;2019;50646
065014;2020;50411
018012;2019;656
018012;2020;660
082008;2019;1917
082008;2020;1898
095013;2019;664
095013;2020;664
091006;2019;3577
091006;2020;3549
103008;2019;4899
103008;2020;4928
012010;2019;647
012010;2020;654
017014;2019;12186
017014;2020;12069
022011;2019;1478
022011;2020;1483
034003;2019;3334
034003;2020;3295
016022;2019;724
016022;2020;711
103009;2019;751
103009;2020;770
001024;2019;17915
001024;2020;17785
004016;2019;3466
004016;2020;3477
079009;2019;1265
079009;2020;1254
023007;2019;3171
023007;2020;3233
041005;2019;735
041005;2020;732
043004;2019;1869
043004;2020;1821
006014;2019;502
006014;2020;499
018013;2019;6181
018013;2020;6208
103010;2019;499
103010;2020;502
076012;2019;4945
076012;2020;4869
013250;2019;3686
013250;2020;3678
097008;2019;3242
097008;2020;3224
067006;2019;6951
067006;2020;6883
099001;2019;19321
099001;2020;19341
058012;2019;2788
058012;2020;2768
004017;2019;106
004017;2020;102
015016;2019;3840
015016;2020;3837
003016;2019;9550
003016;2020;9515
065158;2019;13469
065158;2020;13461
061007;2019;6016
061007;2020;6039
065015;2019;770
065015;2020;743
025006;2019;35678
025006;2020;35675
108006;2019;7314
108006;2020;7352
078013;2019;1866
078013;2020;1847
060013;2019;692
060013;2020;694
094004;2019;707
094004;2020;700
057005;2019;648
057005;2020;638
082009;2019;11173
082009;2020;11088
109003;2019;626
109003;2020;614
087007;2019;27411
087007;2020;27390
078014;2019;914
078014;2020;905
101001;2019;2138
101001;2020;2101
004018;2019;366
004018;2020;351
078015;2019;9147
078015;2020;9172
042005;2019;2180
042005;2020;2155
005008;2019;325
005008;2020;326
091007;2019;588
091007;2020;579
014006;2019;120
014006;2020;116
013021;2019;324
013021;2020;326
004019;2019;3687
004019;2020;3678
080008;2019;2539
080008;2020;2510
090008;2019;1809
090008;2020;1781
004020;2019;475
004020;2020;482
062008;2019;58745
062008;2020;58338
096003;2019;1170
096003;2020;1144
037005;2019;5663
037005;2020;5752
016023;2019;2416
016023;2020;2468
014007;2019;4103
014007;2020;4070
034004;2019;2004
034004;2020;2008
090009;2019;2689
090009;2020;2674
013022;2019;2734
013022;2020;2746
018014;2019;2818
018014;2020;2878
006015;2019;720
006015;2020;711
016024;2019;120569
016024;2020;120783
029006;2019;2526
029006;2020;2492
009010;2019;1090
009010;2020;1066
004021;2019;56
004021;2020;56
017015;2019;2754
017015;2020;2763
077003;2019;12011
077003;2020;11933
108007;2019;11074
108007;2020;11144
015019;2019;3023
015019;2020;3052
004022;2019;4169
004022;2020;4188
038002;2019;4667
040003;2019;10943
040003;2020;10993
030010;2019;2377
030010;2020;2392
098002;2019;1108
098002;2020;1073
005009;2019;408
005009;2020;405
006016;2019;153
006016;2020;155
017016;2019;1627
017016;2020;1595
017017;2019;2482
017017;2020;2469
016025;2019;1381
016025;2020;1399
108008;2019;15459
108008;2020;15487
012011;2019;2528
012011;2020;2506
015022;2019;2052
015022;2020;2046
022013;2019;2662
022013;2020;2718
033003;2019;987
033003;2020;954
012012;2019;5471
012012;2020;5467
012013;2019;8926
012013;2020;8834
090010;2019;411
090010;2020;399
033004;2019;2715
033004;2020;2684
054003;2019;4247
054003;2020;4260
103011;2019;1463
103011;2020;1447
054004;2019;4932
054004;2020;4902
011003;2019;2326
011003;2020;2311
023008;2019;1690
023008;2020;1710
